,Team,Sport,Event,Medal,Age,Height,Weight,Cluster
28994,Ethiopia,Athletics,"Athletics Men's 10,000 metres",Silver,36.0,170.0,54.0,4
28995,Ethiopia,Athletics,Athletics Men's Marathon,Gold,36.0,170.0,54.0,1
28996,Ethiopia,Athletics,Athletics Men's Marathon,Bronze,40.0,170.0,54.0,8
28997,Ethiopia,Athletics,"Athletics Men's 5,000 metres",Gold,21.0,175.0,59.0,1
28998,East Germany,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,24.0,184.0,79.0,4
28999,Germany,Speed Skating,Speed Skating Women's 500 metres,Silver,31.0,172.0,75.0,4
29000,Austria,Alpine Skiing,Alpine Skiing Women's Super G,Gold,23.0,172.0,67.0,1
29001,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,17.0,180.0,80.0,2
29002,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,21.0,180.0,80.0,2
29003,Sweden,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,19.0,178.0,70.0,8
29004,West Germany,Athletics,Athletics Men's Javelin Throw,Gold,26.0,176.0,88.0,1
29005,Germany,Handball,Handball Men's Handball,Bronze,25.0,198.0,110.0,3
29006,Great Britain,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,25.0,184.0,79.0,1
29007,Netherlands,Hockey,Hockey Women's Hockey,Bronze,24.0,165.0,69.0,7
29008,Germany,Cycling,Cycling Men's Sprint,Bronze,26.0,179.0,75.0,7
29009,Germany,Cycling,Cycling Men's Team Sprint,Gold,26.0,179.0,75.0,1
29010,East Germany,Rowing,Rowing Men's Quadruple Sculls,Gold,23.0,180.0,85.0,1
29011,Tonga,Boxing,Boxing Men's Super-Heavyweight,Silver,26.0,185.0,140.0,4
29012,Canada,Sailing,Sailing Men's Two Person Keelboat,Silver,33.0,183.0,100.0,4
29013,East Germany,Boxing,Boxing Men's Welterweight,Gold,25.0,176.0,67.0,1
29014,Argentina,Basketball,Basketball Men's Basketball,Gold,30.0,208.0,120.0,1
29015,West Germany,Handball,Handball Men's Handball,Silver,28.0,187.0,87.0,4
29016,Germany,Hockey,Hockey Women's Hockey,Silver,27.0,173.0,58.0,4
29017,Poland,Fencing,"Fencing Women's Foil, Team",Silver,30.0,187.0,71.0,4
29018,Poland,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold,27.0,170.0,66.0,1
29019,United States,Basketball,Basketball Women's Basketball,Gold,25.0,201.0,95.0,2
29020,Cameroon,Football,Football Men's Football,Gold,21.0,178.0,78.0,5
29021,North Korea,Judo,Judo Women's Half-Middleweight,Bronze,21.0,162.0,66.0,7
29022,South Korea,Fencing,"Fencing Men's Sabre, Team",Gold,30.0,182.0,76.0,1
29023,Thailand,Taekwondo,Taekwondo Women's Flyweight,Bronze,18.0,173.0,49.0,7
29024,United States,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,18.0,178.0,75.0,2
29025,Australia,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,17.0,177.0,68.0,8
29026,Australia,Swimming,Swimming Men's 400 metres Freestyle,Bronze,21.0,177.0,68.0,8
29027,Australia,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,21.0,177.0,68.0,8
29028,United States,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,14.0,167.0,60.0,2
29029,United States,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,14.0,167.0,60.0,2
29030,Australia,Hockey,Hockey Men's Hockey,Bronze,28.0,175.0,74.0,7
29031,England-1,Hockey,Hockey Men's Hockey,Gold,23.0,193.0,89.0,1
29032,Canada,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver,26.0,180.0,80.0,4
29033,United States,Basketball,Basketball Men's Basketball,Gold,22.0,190.0,86.0,2
29034,Australia,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,31.0,183.0,85.0,7
29035,United States,Figure Skating,Figure Skating Men's Singles,Silver,19.0,178.0,68.0,0
29036,United States,Basketball,Basketball Women's Basketball,Gold,24.0,180.0,70.0,2
29037,Australia,Tennis,Tennis Men's Doubles,Gold,25.0,178.0,75.0,1
29038,Australia,Tennis,Tennis Men's Doubles,Silver,29.0,178.0,75.0,4
29039,Australia,Tennis,Tennis Men's Doubles,Gold,30.0,183.0,80.0,1
29040,Australia,Tennis,Tennis Men's Doubles,Silver,34.0,183.0,80.0,4
29041,Great Britain,Boxing,Boxing Men's Light-Middleweight,Bronze,20.0,185.0,71.0,7
29042,United States,Swimming,Swimming Women's 200 metres Freestyle,Silver,20.0,165.0,54.0,0
29043,Australia,Water Polo,Water Polo Women's Water Polo,Gold,31.0,173.0,68.0,1
29044,Australia,Swimming,Swimming Men's 400 metres Individual Medley,Bronze,18.0,190.0,77.0,8
29045,Canada,Synchronized Swimming,Synchronized Swimming Women's Team,Silver,24.0,176.0,62.0,4
29046,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,21.0,179.0,75.0,6
29047,New Zealand,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Silver,25.0,169.0,74.0,4
29048,United States,Athletics,Athletics Men's 200 metres,Gold,22.0,180.0,73.0,2
29049,Great Britain,Swimming,Swimming Men's 200 metres Butterfly,Silver,18.0,172.0,70.0,0
29050,United States,Athletics,Athletics Men's 800 metres,Gold,21.0,189.0,75.0,2
29051,Australia,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,18.0,184.0,72.0,1
29052,Australia,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver,22.0,184.0,72.0,4
29053,Australia,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,22.0,184.0,72.0,7
29054,Australia,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,30.0,184.0,72.0,7
29055,United States,Athletics,Athletics Men's Shot Put,Silver,25.0,188.0,136.0,0
29056,United States,Athletics,Athletics Men's Shot Put,Silver,29.0,188.0,136.0,0
29057,Australia,Water Polo,Water Polo Women's Water Polo,Gold,25.0,175.0,76.0,1
29058,United States,Volleyball,Volleyball Women's Volleyball,Silver,27.0,175.0,68.0,0
29059,Australia,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver,27.0,171.0,62.0,4
29060,United States,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,25.0,187.0,83.0,8
29061,Australia,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,26.0,186.0,78.0,1
29062,Canada,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,22.0,182.0,84.0,6
29063,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,17.0,183.0,84.0,2
29064,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,22.0,183.0,84.0,0
29065,Netherlands,Rowing,Rowing Women's Coxed Eights,Bronze,29.0,166.0,50.0,3
29066,Netherlands,Rowing,Rowing Women's Coxed Eights,Silver,33.0,166.0,50.0,4
29067,United States,Rowing,Rowing Men's Coxed Eights,Gold,20.0,192.0,83.0,2
29068,France,Fencing,"Fencing Men's epee, Team",Bronze,31.0,178.0,72.0,7
