,Team,Sport,Event,Medal,Age,Height,Weight
11272,Poland,Swimming,Swimming Women's 200 metres Butterfly,Gold,20.0,187.0,73.0
11273,New Zealand,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,35.0,177.0,70.0
11274,United States,Athletics,Athletics Men's Pole Vault,Bronze,22.0,173.0,68.0
11275,United States,Basketball,Basketball Men's Basketball,Bronze,24.0,203.0,102.0
11276,United States,Athletics,Athletics Men's 200 metres,Bronze,22.0,183.0,75.0
11277,United States,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,17.0,182.0,76.0
11278,Great Britain,Boxing,Boxing Men's Light-Heavyweight,Bronze,23.0,188.0,81.0
11279,Serbia and Montenegro,Water Polo,Water Polo Men's Water Polo,Bronze,29.0,203.0,104.0
11280,Serbia and Montenegro,Water Polo,Water Polo Men's Water Polo,Silver,33.0,203.0,104.0
11281,Kenya,Athletics,Athletics Women's 800 metres,Gold,18.0,175.0,60.0
11282,Czechoslovakia,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,29.0,175.0,86.0
11283,Poland,Rowing,Rowing Men's Quadruple Sculls,Gold,28.0,194.0,89.0
11284,West Germany,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,23.0,187.0,83.0
11285,Yugoslavia,Basketball,Basketball Men's Basketball,Silver,27.0,208.0,94.0
11286,Hungary,Water Polo,Water Polo Men's Water Polo,Silver,25.0,181.0,77.0
11287,Hungary,Water Polo,Water Polo Men's Water Polo,Gold,29.0,181.0,77.0
11288,Hungary,Water Polo,Water Polo Men's Water Polo,Gold,33.0,181.0,77.0
11289,Hungary,Water Polo,Water Polo Men's Water Polo,Bronze,37.0,181.0,77.0
11290,United States,Athletics,Athletics Men's 400 metres,Gold,22.0,186.0,74.0
11291,United States,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,22.0,186.0,74.0
11292,United States,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,28.0,186.0,77.0
11293,Great Britain,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,20.0,190.0,82.0
11294,Canada,Curling,Curling Women's Curling,Bronze,44.0,173.0,59.0
11295,Canada,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,22.0,175.0,70.0
11296,United States,Athletics,Athletics Men's Decathlon,Gold,26.0,188.0,88.0
11297,Canada,Rowing,Rowing Women's Lightweight Double Sculls,Silver,34.0,165.0,59.0
11298,United States,Rowing,Rowing Men's Coxed Pairs,Bronze,26.0,157.0,44.0
11299,United States,Rowing,Rowing Men's Coxed Pairs,Gold,34.0,157.0,44.0
11300,United States,Athletics,"Athletics Women's 10,000 metres",Bronze,32.0,165.0,50.0
11301,United States,Taekwondo,Taekwondo Men's Featherweight,Bronze,25.0,175.0,67.0
11302,Netherlands,Hockey,Hockey Men's Hockey,Silver,25.0,186.0,72.0
11303,Norway,Speed Skating,"Speed Skating Women's 3,000 metres",Gold,19.0,175.0,66.0
11304,Norway,Football,Football Women's Football,Gold,25.0,168.0,58.0
11305,Denmark,Sailing,Sailing Women's Three Person Keelboat,Bronze,31.0,167.0,75.0
11306,Denmark,Handball,Handball Men's Handball,Gold,31.0,197.0,102.0
11307,Australia,Sailing,Sailing Men's Skiff,Gold,24.0,186.0,80.0
11308,Australia,Sailing,Sailing Men's Skiff,Silver,28.0,186.0,80.0
11309,United States,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,18.0,185.0,88.0
11310,United States,Swimming,Swimming Men's 400 metres Freestyle,Bronze,22.0,185.0,88.0
