,Age,Height,Weight,Cluster
833,24.0,179.0,78.0,5
834,27.0,179.0,68.0,2
835,26.0,173.0,74.0,2
836,24.0,191.0,75.0,1
837,20.0,184.0,69.0,5
838,24.0,184.0,69.0,5
839,24.0,184.0,69.0,5
840,28.0,184.0,69.0,2
841,28.0,184.0,69.0,2
842,26.0,180.0,70.0,2
843,22.0,190.0,99.0,1
844,26.0,190.0,99.0,1
845,26.0,190.0,99.0,1
846,28.0,190.0,99.0,4
847,28.0,190.0,99.0,4
848,24.0,200.0,104.0,1
849,28.0,200.0,104.0,1
850,32.0,200.0,104.0,4
851,24.0,180.0,83.0,5
852,18.0,169.0,52.0,3
853,22.0,175.0,74.0,5
854,26.0,180.0,81.0,2
855,30.0,180.0,81.0,2
856,26.0,173.0,73.0,2
857,30.0,173.0,73.0,2
858,30.0,173.0,73.0,2
859,29.0,160.0,62.0,0
860,20.0,168.0,72.0,3
861,22.0,185.0,61.0,5
862,20.0,180.0,73.0,5
863,20.0,180.0,73.0,5
864,27.0,164.0,63.0,8
865,31.0,164.0,63.0,0
866,24.0,172.0,69.0,8
867,23.0,188.0,91.0,1
868,20.0,188.0,78.0,5
