,Age,Height,Weight
696,25.0,179.0,68.0
697,25.0,160.0,57.0
698,27.0,173.0,74.0
699,27.0,180.0,79.0
700,28.0,168.0,67.0
701,32.0,168.0,67.0
702,33.0,180.0,76.0
703,28.0,172.0,72.0
704,16.0,178.0,69.0
705,19.0,178.0,69.0
706,23.0,165.0,54.0
707,18.0,172.0,63.0
708,22.0,172.0,63.0
709,19.0,157.0,52.0
710,22.0,182.0,75.0
711,24.0,170.0,59.0
712,17.0,150.0,64.0
713,20.0,190.0,80.0
714,21.0,182.0,77.0
715,25.0,182.0,77.0
716,20.0,178.0,68.0
717,18.0,170.0,58.0
718,22.0,148.0,46.0
719,22.0,148.0,46.0
720,22.0,148.0,46.0
721,22.0,148.0,46.0
722,26.0,148.0,46.0
723,26.0,148.0,46.0
724,26.0,148.0,46.0
725,23.0,170.0,67.0
726,28.0,183.0,68.0
727,22.0,180.0,70.0
728,23.0,177.0,72.0
729,25.0,163.0,65.0
730,25.0,163.0,65.0
731,27.0,163.0,51.0
732,28.0,161.0,60.0
733,21.0,189.0,81.0
734,21.0,189.0,81.0
735,25.0,189.0,81.0
736,25.0,189.0,81.0
737,20.0,170.0,62.0
738,25.0,168.0,56.0
739,29.0,168.0,56.0
740,14.0,181.0,77.0
741,19.0,185.0,80.0
742,27.0,175.0,56.0
743,31.0,175.0,56.0
744,21.0,175.0,67.0
745,25.0,175.0,67.0
746,16.0,150.0,40.0
747,16.0,150.0,40.0
748,16.0,150.0,40.0
749,16.0,150.0,40.0
750,22.0,194.0,125.0
751,26.0,194.0,125.0
752,24.0,194.0,104.0
753,24.0,170.0,62.0
754,28.0,170.0,62.0
755,20.0,176.0,82.0
756,20.0,176.0,82.0
757,24.0,176.0,82.0
758,24.0,176.0,82.0
759,26.0,176.0,82.0
760,26.0,176.0,82.0
761,30.0,176.0,82.0
762,30.0,176.0,82.0
763,30.0,176.0,82.0
764,34.0,176.0,82.0
765,34.0,176.0,82.0
766,31.0,190.0,95.0
767,23.0,167.0,58.0
768,23.0,190.0,74.0
769,22.0,160.0,55.0
770,22.0,160.0,55.0
771,21.0,176.0,67.0
772,22.0,171.0,70.0
773,22.0,171.0,70.0
774,22.0,175.0,65.0
775,26.0,175.0,65.0
776,18.0,182.0,68.0
777,18.0,182.0,68.0
778,22.0,179.0,65.0
779,21.0,166.0,70.0
780,23.0,170.0,61.0
781,19.0,158.0,52.0
782,22.0,165.0,64.0
783,21.0,178.0,73.0
784,25.0,178.0,73.0
785,25.0,165.0,68.0
786,23.0,175.0,64.0
787,25.0,169.0,60.0
788,28.0,178.0,78.0
789,20.0,164.0,50.0
790,22.0,186.0,85.0
791,26.0,186.0,85.0
792,34.0,186.0,85.0
793,29.0,208.0,110.0
794,28.0,180.0,68.0
795,25.0,161.0,62.0
796,23.0,163.0,54.0
797,18.0,181.0,73.0
798,24.0,176.0,75.0
799,16.0,168.0,60.0
800,25.0,167.0,52.0
801,29.0,165.0,54.0
802,23.0,174.0,57.0
803,27.0,174.0,57.0
804,31.0,174.0,57.0
805,25.0,188.0,75.0
806,41.0,182.0,98.0
807,41.0,182.0,98.0
808,23.0,183.0,87.0
809,25.0,168.0,63.0
810,30.0,168.0,63.0
811,30.0,168.0,63.0
812,24.0,167.0,52.0
813,19.0,168.0,55.0
814,23.0,168.0,55.0
815,19.0,190.0,86.0
