,Age,Height,Weight,Anomalies
696,25.0,179.0,68.0,1
697,25.0,160.0,57.0,1
698,27.0,173.0,74.0,1
699,27.0,180.0,79.0,1
700,28.0,168.0,67.0,1
701,32.0,168.0,67.0,1
702,33.0,180.0,76.0,1
703,28.0,172.0,72.0,1
704,16.0,178.0,69.0,1
705,19.0,178.0,69.0,1
706,23.0,165.0,54.0,1
707,18.0,172.0,63.0,1
708,22.0,172.0,63.0,1
709,19.0,157.0,52.0,1
710,22.0,182.0,75.0,1
711,24.0,170.0,59.0,1
712,17.0,150.0,64.0,-1
713,20.0,190.0,80.0,1
714,21.0,182.0,77.0,1
715,25.0,182.0,77.0,1
716,20.0,178.0,68.0,1
717,18.0,170.0,58.0,1
718,22.0,148.0,46.0,-1
719,22.0,148.0,46.0,-1
720,22.0,148.0,46.0,-1
721,22.0,148.0,46.0,-1
722,26.0,148.0,46.0,-1
723,26.0,148.0,46.0,-1
724,26.0,148.0,46.0,-1
725,23.0,170.0,67.0,1
726,28.0,183.0,68.0,1
727,22.0,180.0,70.0,1
728,23.0,177.0,72.0,1
729,25.0,163.0,65.0,1
730,25.0,163.0,65.0,1
731,27.0,163.0,51.0,1
732,28.0,161.0,60.0,1
733,21.0,189.0,81.0,1
734,21.0,189.0,81.0,1
735,25.0,189.0,81.0,1
736,25.0,189.0,81.0,1
737,20.0,170.0,62.0,1
738,25.0,168.0,56.0,1
739,29.0,168.0,56.0,1
740,14.0,181.0,77.0,-1
741,19.0,185.0,80.0,1
742,27.0,175.0,56.0,1
743,31.0,175.0,56.0,1
744,21.0,175.0,67.0,1
745,25.0,175.0,67.0,1
746,16.0,150.0,40.0,-1
747,16.0,150.0,40.0,-1
748,16.0,150.0,40.0,-1
749,16.0,150.0,40.0,-1
750,22.0,194.0,125.0,-1
751,26.0,194.0,125.0,-1
752,24.0,194.0,104.0,1
753,24.0,170.0,62.0,1
754,28.0,170.0,62.0,1
755,20.0,176.0,82.0,1
756,20.0,176.0,82.0,1
757,24.0,176.0,82.0,1
758,24.0,176.0,82.0,1
759,26.0,176.0,82.0,1
760,26.0,176.0,82.0,1
761,30.0,176.0,82.0,1
762,30.0,176.0,82.0,1
763,30.0,176.0,82.0,1
764,34.0,176.0,82.0,1
765,34.0,176.0,82.0,1
766,31.0,190.0,95.0,1
