,index,ID,Name,Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Age,Height,Weight
27169,246599,123471,,M,Cuba,CUB,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Bronze,21.0,194.0,97.0
27170,246604,123473,,M,Cuba,CUB,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Gold,23.0,178.0,86.0
27171,246605,123473,,M,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Silver,27.0,178.0,86.0
27172,246618,123478,,M,Argentina,ARG,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Bronze,26.0,199.0,91.0
27173,246625,123484,,F,Peru,PER,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,Silver,22.0,174.0,65.0
27174,246641,123495,,M,Germany,GER,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Welterweight,Silver,26.0,172.0,66.0
27175,246649,123499,,M,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Men's Singles,Gold,20.0,179.0,72.0
27176,246651,123501,,M,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,Bronze,22.0,172.0,60.0
27177,246666,123512,,M,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Gold,28.0,175.0,70.0
27178,246669,123513,,F,Colombia,COL,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Heavyweight,Gold,35.0,170.0,78.0
27179,246670,123514,,M,Cuba,CUB,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Gold,28.0,178.0,107.0
27180,246676,123518,,F,Germany,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 200 metres Breaststroke,Silver,18.0,175.0,73.0
27181,246678,123519,,M,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver,22.0,186.0,85.0
27182,246685,123523,,M,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Double Sculls,Bronze,27.0,190.0,70.0
27183,246717,123534,,M,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Pommelled Horse,Silver,20.0,163.0,57.0
27184,246722,123534,,M,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,24.0,163.0,57.0
27185,246724,123534,,M,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Bronze,28.0,163.0,57.0
27186,246727,123534,,M,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Pommelled Horse,Silver,28.0,163.0,57.0
